pace_change;dramatically_reduce;unlock_potential
usher;highly_secure;alter
networking;serious_professional;global_commerce
radiotherapy;problem-solving;future-focused
biology;quickly_effectively;robotic_process_automation
quantum_computing;far_fewer;improve_effectiveness_efficiency
breakthrough_technology;timely_fashion;re-engineer
deep_learning;more_effi_cient;iterate
groundbreaking;high_level;robotic
next_era;shortest;emerge_technology
pioneer;accessible_affordable;change_customer_behavior
unleash;ultimate;upend
mass_customization;safe_efficient;disintegrate
disruptive_force;everchanging;it_architecture
artificial_intelligence_machine_learning;extremely;fine-tuning
high-speed_connectivity;credible;adapt_change
social_networking;manipulate;more-focused
commerce;customer-friendly;constantly_evolve
human-centered;datum_analysis;use_artificial_intelligence
wireless_connectivity;anywhere_world;datacenter
scientific_discovery;cost-effective_manner;datum_environment
fast-evolving;safely_efficiently;re-examine
radiation_therapy;reliably;cloud-first
consumerization;security_professional;continually_evolve
dramatic_change;new-to-the-world;cross-divisional
cusp;more_accurate;tie_together
video_gaming;modern_society;quickly_adapt
computer_vision;endto-end;fast-changing
precision_medicine;nimbleness;iterative
invention;daunting;outside-in
technology_revolution;extraordinary;supply_chain_innovation
quantum;quickly_efficiently;well-optimized
breakthrough_innovation;highly_complex;re-think
datum_access;anywhere_anytime;customerface
mainframe;traverse;factory_floor
groundbreak;friendly;server_infrastructure
cell_therapy;more_easily;as-a-service
networked;anywhere_else;re-invent
personal_computer;minimize_power_consumption;successfully_adapt
widespread_adoption;infinitely;completely_transform
video_game;self-healing;completely_redesign
storage_networking;wireline_wireless;nearly_every_aspect
netbook;affordable_health_care;cost_transformation
it_industry;algorithm;new_technology
revolutionize_way;early_detection;learn_great_deal
optics;humidity;create_entirely_new
hdtv;bypass;vaccine_development
datum_analytic_machine_learning;irregular;health_care_landscape
play_pivotal_role;pharmacy_solution;federated
solve_critical;life-saving;autonomous_driving
software-driven;multi-gigabit;digitalize
high-tech;more_accurately;bim
machine_learning;delicate;irrevocably
high-performance_computing;custom-designed;we_change
hemorrhagic;economically_viable;reconceptualize
technological_development;deepwater_environment;people_think_eat
fundamentally_transform;reasonable_cost;experience_cloud
immersive;environmentally-friendly;restaff
computer_science;computer_user;consumer_shopping_behavior
sea_change;unknowable;important_enabler
nexus;thinner;replace
sterile;gravitational;marketing_landscape
digital_age;elicit;replacement
real-world;arctic;displace
experimentation;deepwater_operation;ingenious
game-changer;supercompute;re-define
cut_edge;effectively_efficiently;ingenuity
computational;quickest;transitional
computer_industry;fast_accurate;redefinition
evolve_rapidly;microwave_subsystem;displacement
busbar;environmentally_friendly;new_customer
innovator;overuse;
change_competitive_landscape;business_change;
natural_language_processing;contamination;
adaptation;transportable;
mobility_service;safe_compliant;
multicloud;energy_efficient_product;
dual-core;remotely;
voice_video;clean_affordable;
next_big;satellite-based;
physical_digital_world;better_patient_outcome;
consumer_device;oversized;
computing_capability;metal_powder;
closed-loop;cool;
technology_change;ever-cleaner;
enter_new_era;reliable_low-cost;
pervasiveness;without_fear;
solid-state;feasible;
undergo_transformation;temperature_pressure;
blockchain;off-grid;
mp3_player;radiotherapy_radiosurgery;
emergence;efficient_manner;
system_software;lighting_and_building_management_solution;
robot;customer_question;
intersection;cost_effectively;
never_before;faster_ever_before;
fundamental_change;just-in-time;
explosive;fire_and_security_system;
profoundly;on-chip;
physics;conveniently;
profound_impact;storage_resource;
data-centric;cheaply;
electro-mechanical;dirt;
television_set;shower;
90nm;safe_reliable_affordable_energy;
photorealistic;lowest_possible_cost;
document_cloud;high_degree;
consumer_behavior;incredibly;
video_audio;ill_patient;
constantly_change;ultimately;
disruption;lethal;
fusion;quickly_safely;
balloon;process_management;
widely_use;hand-off;
borderless;pollute;
fundamental_shift;quickly_accurately;
microfluidic;none_would;
brink;ignorance;
multi-core;precipice;
dawn;reproducible;
radically_change;cancerous;
disruptor;cloak;
radically;resonance_imaging;
full-featured;cheapest;
industry-defining;air_pressure;
awe-inspiring;fastest;
enterprise-grade;cost-efficiently;
new_paradigm;unbelievable;
trillion-dollar;dramatic_reduction;
magical;challenge_status_quo;
game_changer;eliminate;
rapid_growth;outperformance;
set_standard;highly_innovative;
ever_before;elimination;
rapidly_grow;outperform;
mind-blowing;astonish;
disturbance;outstand;
life_change;;
overcome;;
significantly_impact;;
disturb;;
first-time;;
